,datetime,market_id,power,simulation,unit_id
22181,2019-01-18 21:00:00,EOM,0,germany_mc_base_case_2019,HKW KOELN MERKENICH GUD
22182,2019-01-18 21:00:00,EOM,15,germany_mc_base_case_2019,MARBACH 3 GT 1
22183,2019-01-18 21:00:00,EOM,30,germany_mc_base_case_2019,WALHEIM GT 1
22184,2019-01-18 21:00:00,EOM,70,germany_mc_base_case_2019,MARBACH 3
22185,2019-01-18 21:00:00,EOM,19,germany_mc_base_case_2019,ALTBACH I GT 2
22186,2019-01-18 21:00:00,EOM,25,germany_mc_base_case_2019,ALTBACH I GT 3
22187,2019-01-18 21:00:00,EOM,20,germany_mc_base_case_2019,FLINGERN GT 1
22188,2019-01-18 21:00:00,EOM,13,germany_mc_base_case_2019,ALTBACH I NO 5 GT 1
22189,2019-01-18 21:00:00,EOM,1400,germany_mc_base_case_2019,KKW NECKARWESTHEIM
22190,2019-01-18 21:00:00,EOM,1468,germany_mc_base_case_2019,KKW PHILIPPSBURG 2
22191,2019-01-18 21:00:00,EOM,17,germany_mc_base_case_2019,ALTBACH II GT E
22192,2019-01-18 21:00:00,EOM,912,germany_mc_base_case_2019,RDK (KARLSRUHE) 8
22193,2019-01-18 21:00:00,EOM,348,germany_mc_base_case_2019,ALTBACH DEIZISAU HKW II
22194,2019-01-18 21:00:00,EOM,553,germany_mc_base_case_2019,ROSTOCK 1
22195,2019-01-18 21:00:00,EOM,550,germany_mc_base_case_2019,RDK (KARLSRUHE) 7
22196,2019-01-18 21:00:00,EOM,28,germany_mc_base_case_2019,STUTTGART MUENSTER K25
22197,2019-01-18 21:00:00,EOM,760,germany_mc_base_case_2019,HEILBRONN 7
22198,2019-01-18 21:00:00,EOM,460,germany_mc_base_case_2019,ALTBACH DEIZISAU HKW I
22199,2019-01-18 21:00:00,EOM,50,germany_mc_base_case_2019,HEILBRONN 6
22200,2019-01-18 21:00:00,EOM,50,germany_mc_base_case_2019,HEILBRONN 5
22201,2019-01-18 21:00:00,EOM,70,germany_mc_base_case_2019,WALHEIM 2
22202,2019-01-18 21:00:00,EOM,50,germany_mc_base_case_2019,WALHEIM 1
22203,2019-01-18 21:00:00,EOM,0,germany_mc_base_case_2019,RDK (KARLSRUHE) 4RP
22204,2019-01-18 21:00:00,EOM,0,germany_mc_base_case_2019,Schwarzenbachwerk
22205,2019-01-18 21:00:00,EOM,0,germany_mc_base_case_2019,Glems
22206,2019-01-18 21:00:00,EOM,0,germany_mc_base_case_2019,Häusern
22207,2019-01-18 21:00:00,EOM,0,germany_mc_base_case_2019,Waldshut
22208,2019-01-18 21:00:00,EOM,0,germany_mc_base_case_2019,Witznau
22209,2019-01-18 21:00:00,EOM,0,germany_mc_base_case_2019,Säckingen
